sigmoid
0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1/0->1
270492004,0,1
164889003,1,1
164890007,2,1
426627000,3,1
713426002,4,1
445118002,5,1
39732003,6,1
164909002,7,1
251146004,8,1
698252002,9,1
10370003,10,1
164947007,11,1
111975006,12,1
164917005,13,1
47665007,14,1
59118001,15,1
427393009,16,1
426177001,17,1
426783006,18,1
427084000,19,1
63593006,20,1
164934002,21,1
59931005,22,1
17338001,23,1
713427006,15,1
284470004,20,1
427172004,23,1
