epoch,train_loss,valid_loss,lr
0.0,862.899918214776,594.9032043330952,0.001
1.0,465.7034117705658,301.8554394214749,0.001
2.0,329.10033791285605,187.82240901457652,0.001
3.0,274.1554726922842,108.123590597477,0.001
4.0,247.71278969165292,265.1912502579832,0.001
5.0,212.41846578709024,112.06894634928032,0.001
6.0,184.3748607469402,193.41698977135297,0.001
7.0,175.0003877109328,94.6169558504095,0.001
8.0,152.86952666770006,188.9327549241837,0.001
9.0,202.99809131607898,105.55233988546902,0.001
10.0,182.47360088291603,140.52995995247718,0.001
11.0,155.08396043357837,104.38107949001547,0.001
12.0,143.90784660806432,73.45098787244292,0.001
13.0,145.4273203739824,191.7207713319719,0.001
14.0,142.0318783684262,145.21899590436885,0.001
15.0,128.6133652036759,63.10426150360749,0.001
16.0,116.73315979748017,68.07292598471936,0.001
17.0,116.20357845645233,59.26218359908009,0.001
18.0,119.8780321053085,174.1138213737983,0.001
19.0,116.07847232310286,72.26090025655547,0.001
20.0,120.91432277840777,85.3688077553698,0.001
21.0,108.48107004486873,80.7393131344413,0.001
22.0,108.9326471795873,112.70452156341334,0.001
23.0,100.49334569980358,107.4396811267302,0.001
24.0,101.35722398458648,66.71641263588855,0.001
25.0,104.93617998613121,104.45781648555571,0.001
26.0,113.7699802573302,57.32782546243858,0.001
27.0,99.88030652958197,94.63945964870565,0.001
28.0,96.58608838656397,159.63261077509145,0.001
29.0,97.72227787856326,139.7649331450488,0.001
30.0,93.6192411732546,59.16780849141318,0.001
31.0,100.88694050010326,119.4275457666287,0.001
32.0,99.40940941949783,111.54850104194955,0.001
33.0,91.10781147880287,114.08383308811162,0.001
34.0,94.87874603797978,73.99289565769405,0.001
35.0,90.65398701192092,59.192637543739764,0.001
36.0,87.6892552972643,70.80931800284169,0.001
37.0,94.91092410539963,98.67131804278692,0.001
38.0,87.6088902618016,77.14639592532444,0.001
39.0,95.78878683117976,96.04380528520456,0.001
40.0,60.55703616564565,70.40683232784373,0.0001
41.0,55.830567076651924,61.51951102740371,0.0001
42.0,53.96135739423659,50.20060069588686,0.0001
43.0,53.72429931486187,56.15881329505258,0.0001
44.0,52.15938508295526,35.96220543428876,0.0001
45.0,52.15764400101974,37.04659316087858,0.0001
46.0,51.139342005153885,44.85296036033976,0.0001
47.0,50.05144054140444,31.569376610938583,0.0001
48.0,49.95380829613065,34.12180644245312,0.0001
49.0,48.9207379188599,30.50893836867496,0.0001
50.0,49.31755939446161,32.74376421431903,0.0001
51.0,47.71428405138952,28.577996887010304,0.0001
52.0,48.398656409043205,24.67790087856062,0.0001
53.0,47.93507054916742,34.73027634547641,0.0001
54.0,47.234393083176826,25.691417689608393,0.0001
55.0,46.88370539237854,25.79393260741694,0.0001
56.0,46.96419409017026,23.448725315620862,0.0001
57.0,46.61095324459228,22.508651124198973,0.0001
58.0,45.96098703791367,26.06449664023724,0.0001
59.0,45.81587666356753,29.04562736323471,0.0001
60.0,45.7532394798785,22.520682144694895,0.0001
61.0,45.541006034541944,23.026934276662054,0.0001
62.0,45.17110842799134,24.953092689909514,0.0001
63.0,44.79548641609858,26.619974039144196,0.0001
64.0,44.66393588115836,23.342100349125747,0.0001
65.0,43.83791221399781,24.39368283560969,0.0001
66.0,43.55432981261876,25.065353938899612,0.0001
67.0,43.230504126487816,20.677103147622876,0.0001
68.0,43.25446660647684,24.47992381415091,0.0001
69.0,43.13378386074265,24.84978628032898,0.0001
70.0,42.68023956319888,28.73562605712682,0.0001
71.0,42.833605551656206,29.538826450152534,0.0001
72.0,42.61385352077762,32.13971191026927,0.0001
73.0,42.052989317018465,23.138262753269597,0.0001
74.0,42.1147358312604,32.33809176462058,0.0001
75.0,41.182873430459225,27.362495063690982,1e-05
76.0,40.66714782378891,27.05356225315955,1e-05
77.0,40.216390470659135,25.293178752902158,1e-05
78.0,40.58583764972557,25.206841380569497,1e-05
79.0,40.32663378217696,25.152418891846416,1e-05
80.0,40.42376432123924,24.28054788321696,1e-05
81.0,40.07974693767421,23.919385312654597,1e-05
82.0,39.95133243074537,24.79100470954226,1e-05
83.0,40.174824055070644,25.193414764192354,1e-05
84.0,40.12943991099196,24.19939245961315,1e-05
85.0,39.825143841978544,24.45213103944806,1e-05
86.0,39.98981105679965,24.2654739594271,1e-05
87.0,40.08602510365587,25.204318477723817,1e-05
88.0,39.810981709120924,24.87004409008568,1e-05
89.0,39.59106731298841,24.00627009037664,1e-05
90.0,39.846449585076265,24.152857376882277,1e-05
91.0,39.626992786770124,23.978520246709937,1e-05
92.0,39.88332241988864,25.268628180676593,1e-05
93.0,40.01172655714882,24.749009321843026,1e-05
94.0,39.88491664180848,25.23796104476258,1e-05
95.0,39.75801403149323,24.887088003130717,1e-05
96.0,40.04597970192151,25.501634795455665,1e-05
97.0,39.96237426158111,25.008269112252282,1e-05
98.0,39.45636254000008,25.683380390387057,1e-05
99.0,39.53599447202919,26.298944617958266,1e-05
100.0,39.722335669766444,25.033900965702774,1.0000000000000002e-06
101.0,39.54799133703925,24.97763059390424,1.0000000000000002e-06
102.0,39.42657040645555,24.878705139453615,1.0000000000000002e-06
103.0,39.53953741570706,24.758630280311618,1.0000000000000002e-06
104.0,39.78876383443819,24.67065230298309,1.0000000000000002e-06
105.0,39.654494231899946,24.49658755344478,1.0000000000000002e-06
106.0,39.3224149665558,24.952457180168565,1.0000000000000002e-06
107.0,39.518421936010085,24.590765786023212,1.0000000000000002e-06
108.0,39.232531754226486,24.72119299962451,1.0000000000000002e-06
109.0,39.35727876600092,24.76807629935583,1.0000000000000002e-06
110.0,39.79284915671481,24.497351911147952,1.0000000000000002e-06
111.0,39.61773536416124,24.61164620048479,1.0000000000000002e-06
112.0,39.577309684080255,24.892045046666876,1.0000000000000002e-06
113.0,39.74194941818881,24.772459710134264,1.0000000000000002e-06
114.0,39.65539510391665,24.460969198479493,1.0000000000000002e-06
115.0,39.563878476351384,24.57355582237719,1.0000000000000002e-06
116.0,39.78920352471098,24.6185575928543,1.0000000000000002e-06
117.0,39.72077042392652,24.832977869884438,1.0000000000000002e-06
118.0,39.43103050534542,24.75166717459736,1.0000000000000002e-06
119.0,39.733113698196874,24.486240680422043,1.0000000000000002e-06
120.0,39.72642653100706,24.67234436237317,1.0000000000000002e-06
121.0,39.23364419446053,24.606621489072086,1.0000000000000002e-06
122.0,39.44984853181096,24.652075844482187,1.0000000000000002e-06
123.0,39.467176010604675,24.60110661025502,1.0000000000000002e-06
124.0,39.50538760885322,24.741069034783195,1.0000000000000002e-06
